gene,t_stat,p_value,log2FC,p_adj
COL22A1,-11.296010671038802,9.123410354693753e-28,-1.2759465509259256,3.40954245706844e-27
OR3A2,11.53311804077128,9.262671215073467e-28,0.595519107142856,3.460746146529633e-27
SLC25A13,-11.25975334753093,9.348549707122694e-28,-0.3585181805555564,3.491984954890056e-27
XCR1,11.470207815248811,9.687740638801675e-28,0.8685612149470916,3.6178060299691826e-27
PLEKHF1,11.210122732034481,9.697530104692649e-28,0.6859225793650854,3.6205836814246535e-27
LRP11,-11.27714543646279,9.745675060373299e-28,-0.43098274206348464,3.6376765795046704e-27
GPER,11.2786274854749,9.871725320527038e-28,0.9481402857142749,3.683833125549074e-27
UBL5,-11.34185706377287,9.946751041122949e-28,-0.4082247222222186,3.7109310826307256e-27
ADAM6,11.305592616686178,1.0080744022128701e-27,1.4849279947090022,3.760010070463072e-27
ADRA1D,11.306394275965888,1.0639232320924445e-27,0.7721776256613762,3.967359167964972e-27
CGRRF1,11.231836271157928,1.087729491943545e-27,0.3239832228836015,4.055150360158538e-27
B3GALNT2,-11.261059629484947,1.0900236445121726e-27,-0.34770564285714656,4.062719451598625e-27
CD163L1,11.243541561613382,1.1073961611384625e-27,0.9246393425925961,4.126471126100897e-27
KLHDC2,11.236312811495038,1.107842195782331e-27,0.32046977711638824,4.127134354817457e-27
PPEF1,-11.59558578238647,1.1171568247062496e-27,-1.350159976190481,4.160828164006319e-27
RHOB,11.239971723763786,1.1233842260902714e-27,0.613371041005287,4.1830101400512475e-27
SCGB1D2,11.294687733870703,1.171937835835913e-27,2.702131562830683,4.362748273299215e-27
ARHGAP29,11.235474020108724,1.187035501484465e-27,0.6193420337301845,4.417883881159368e-27
MBIP,11.286272816019444,1.2018708853004884e-27,0.39286815740740266,4.472016921452783e-27
MUC15,11.320481722409758,1.275869338507325e-27,1.9882600224867684,4.746209278810651e-27
TTBK2,11.391444444982755,1.3435932658067655e-27,0.833178194444443,4.996933698943664e-27
NUDT1,-11.305867424441246,1.418353336296215e-27,-0.5585277625661362,5.2736987005440286e-27
POU2AF1,11.226537831736179,1.427398335474904e-27,1.308861508597884,5.306048327210791e-27
LSM1,-11.192518870698768,1.4629809049937921e-27,-0.4903833611111228,5.4370062742431615e-27
SLC26A7,11.230122849043724,1.4749247432699315e-27,1.0023863558201112,5.4800714942391734e-27
MMP11,-11.636106995080796,1.534274290123118e-27,-2.037570257936512,5.6992089855309164e-27
CLCN1,11.402383001509332,1.5779881464982768e-27,0.9305706521163997,5.86017450352966e-27
CCDC51,-11.299531673098002,1.5815142206572096e-27,-0.3663461587301544,5.871853015543539e-27
ITGB4,11.18638016864943,1.6030925942955002e-27,0.7890579828042377,5.950534395942096e-27
GNAQ,11.198025786421333,1.648239986549317e-27,0.4493849927248643,6.116642823065758e-27
TMEM163,11.254449174774498,1.6711816653290547e-27,0.8161537050264567,6.2002853255593864e-27
SCHIP1,11.20767940396737,1.709863444668007e-27,0.6027153029100454,6.342271129258805e-27
FRMPD4,11.439014791758815,1.7488589659947064e-27,0.7131199920634915,6.485351998897036e-27
