gene,t_stat,p_value,log2FC,p_adj
LINGO3,1.9502031735077519,0.051944848187751094,0.21369583290007155,0.06278810076517535
PLA2G5,-1.9491452268233667,0.05207899975086693,-0.20551885463241604,0.06294531432326698
SRP9,-1.9484620495172105,0.05209821985674457,-0.07725477973033001,0.06296360212985057
EPS8L2,1.9498912628682312,0.05211981348203959,0.16821876538076275,0.06298475537108261
C10orf11,1.948935442941336,0.0521284203969365,0.18500244705555335,0.06299021259234275
WIPF1,1.947100313516803,0.05239118677163141,0.1481067294027909,0.06330276251454202
CMTM1,1.9455815819524507,0.05255088624929278,0.11918225711414188,0.06349074039393918
CRH,-1.942876697925825,0.05260465510276131,-0.07611567190045415,0.06355071593701184
INSM2,1.9425341946355983,0.05296563387631336,0.10865485338463116,0.06398178760345181
ESRP2,-1.940421535726189,0.053101157911238414,-0.103580347301655,0.06414046664778676
PGA4,-1.9377479444810575,0.05314893989773682,-0.08447728241655397,0.06419230103273069
KPTN,1.940286439148124,0.05315240929182851,0.10962231205156758,0.06419230103273069
ERC1,1.9410401775995694,0.05319219261061025,0.10688125801530646,0.06423530899024048
CECR4,1.9396433497637067,0.053213050760177856,0.12727327042390235,0.06425545781150171
TXNDC2,-1.9391270901647724,0.05325249992206768,-0.10672187965755286,0.06429805060383283
NBN,1.9391166209756479,0.053285354723268084,0.09134007053484261,0.06433267518812504
SPDYE1,-1.9384475975504307,0.05337353899884525,-0.1118513067138025,0.06443408969462289
RPL29,-1.938190349680353,0.05344815483004069,-0.10979241360784897,0.0645191093624568
C9orf50,-1.9366552487724316,0.053624966798705924,-0.13367094728085627,0.06472747050797077
FTSJ3,1.9357244654888695,0.053716171201097104,0.09151036359225984,0.0648324753455587
ZNF649,-1.9355823829358245,0.053767340152008805,-0.14825396866660068,0.06488914691334688
REG4,-1.9332794312273616,0.053919159270744234,-0.15006461474472388,0.06506726979321648
ARHGEF35,-1.934836845943344,0.05393679426666703,-0.15299683633149996,0.06508344994701194
PXDNL,1.9300955727957643,0.05426778668074313,0.26337192991578195,0.06547771424836626
LGALS4,-1.9304633093768377,0.05430566741782178,-0.17032705538803117,0.065518285631735
KIRREL,-1.9305891346230857,0.054325506765115786,-0.23803754722539772,0.0655370859251342
ZNF70,-1.9308869841996712,0.054422287134680454,-0.09857480156667098,0.06564869594270409
FMNL3,-1.9298399761503922,0.05450417207140101,-0.10987734134000426,0.06574232176916266
MARVELD1,-1.9299793638997436,0.05452494168500004,-0.1375991421441114,0.0657622220839688
NCRNA00235,-1.9289300469873891,0.05454875683337857,-0.12299916554018986,0.06578579219578051
GATS,-1.9287352842774321,0.054609284715077824,-0.1275012659873127,0.06585363069846908
FAM182A,-1.9276615936403878,0.0546940724241605,-0.12343201882083799,0.06595071134112297
FGL2,-1.9276338196234817,0.05480577085367842,-0.21393402568370767,0.06608022347956827
INPP1,1.9261578374734578,0.05483205881879502,0.1128834659110689,0.06610674259126043
ZSWIM7,-1.92617845543274,0.054923604933977445,-0.09085643998474247,0.06621192805891409
SSNA1,1.9258145623567289,0.05496477406548684,0.11480999878687292,0.06625637096111335
CDKN2B,1.9267734095693414,0.05503569836949465,0.2222857491941408,0.06633667197393997
TAF4,1.9239707032977438,0.055107121721456175,0.07395220183009599,0.06641673280112417
TRIM67,1.9249597228578823,0.055110747435679834,0.2152591790579228,0.06641673280112417
ANKRD2,-1.9240441118462235,0.05514607893037253,-0.1751888955322194,0.06645411108170508
PARP14,1.9248900556181685,0.055217493106295035,0.1595696440331391,0.06653496175908785
LPCAT2,1.922049697212912,0.05533478813558567,0.13811224654258858,0.06667108012548811
PI4KAP2,1.9219406211474939,0.05540179421170705,0.15689236075005475,0.06674659041296192
PRR22,1.9222654449762528,0.055408514229211676,0.17777494540916638,0.06674946354644959
GCNT1,1.9219790009693551,0.05545392964046664,0.1904380463415425,0.06679894810469918
ADCK1,-1.9215225235878146,0.055517196789538564,-0.08302484142663147,0.06686992716643396
LYPLA1,-1.9198756636812242,0.055624555462303445,-0.10781657048283932,0.0669939987838772
ZNF692,1.9202372070249827,0.055651963459285005,0.13007081903574402,0.06702176624032939
PPP1R16A,1.9193457054560463,0.05573960197475433,0.13131232886209432,0.06712205940914222
SMPDL3A,-1.9201842749455973,0.055780641208322684,-0.15048733839380724,0.06716622606432661
RHPN2,1.9193499772065543,0.055826307982956375,0.18832869397940932,0.06721595746118074
SLC44A3,1.9181745476969925,0.05588309756261159,0.1401092553117902,0.06727907210661745
LOC100128640,1.9179672860331154,0.055963794097224205,0.1425819243700417,0.06737095681899617
RBP7,-1.9171966327831935,0.05603830705311555,-0.22707947558143537,0.06745538376177157
PTDSS2,-1.9177482039856244,0.05604296336801969,-0.1016335854909638,0.06745571505451839
HS3ST4,1.91652050147825,0.05617000411636868,0.3422220728917509,0.06760334193541223
CEP350,-1.9158200636286546,0.05617970783521469,-0.09144527052789009,0.06760973593393783
WDR86,-1.9144029131745135,0.05629041894519206,-0.2300483406121172,0.0677376772566723
DEFB126,1.9151034189281917,0.056353209518798686,0.09642934646979309,0.06780793739926097
ASFMR1,-1.9138101062752293,0.05645530944797292,-0.0909170046098926,0.06792548250140182
ABHD5,-1.9138296282083838,0.05650936984668788,-0.08434306696475069,0.06798521390291087
ZNF605,-1.9122306568494027,0.056661870083835934,-0.09085149214931931,0.06816335758112523
NDE1,-1.9104293231865108,0.05681805229037985,-0.08182725902048205,0.0683419757446016
TMED3,1.9109786142949143,0.05681922657054264,0.11306458961562882,0.0683419757446016
FAM66E,-1.9107202731927218,0.056844890484270556,-0.10251819261030848,0.06836750342027134
FAM55D,-1.9100776822375187,0.0568840379466511,-0.12004092405809141,0.06840924254195009
CD99,1.9090581191313503,0.05710497208445703,0.1427865602578855,0.06866957631868048
PEG3,-1.9102063874591981,0.05711014063833902,-0.4254982141000321,0.0686704283802035
PIAS1,-1.9080472888417646,0.05717735010782104,-0.07984184170394748,0.06874587377870689
TMEM220,1.905644239456806,0.057374414144451186,0.15504845412637636,0.06897742286110056
SHH,1.9056744910094177,0.057653473270334946,0.13181349606599463,0.06930750530475853
APOL3,-1.905497833106992,0.057700350380599,-0.18632021853661307,0.0693584428768899
C1orf125,-1.902964375179157,0.057827503588565074,-0.1453572025233112,0.06950586048033852
SERF2,-1.903927787601361,0.05783281187337952,-0.11238745970677222,0.06950681480090738
PPL,1.903297612778736,0.05789074710547967,0.170517858133163,0.06957101414166957
DOPEY1,-1.8995798800070174,0.05830572045072728,-0.09003850213163211,0.07006424551469975
ZNF697,-1.8994353791479752,0.058524505833703555,-0.12694637620878524,0.07032166507893972
SELM,-1.8961370524409598,0.05878613367384671,-0.16427822865758834,0.07063051893688786
C19orf35,-1.895842800532827,0.05881747155730731,-0.13819582510138195,0.07066265680148726
CMTM2,1.895074204643707,0.05887578552261372,0.11329477747738181,0.07072719588762452
NAT8L,-1.894636899546911,0.05894032542711599,-0.2674984931198203,0.0707992035107899
RNF6,-1.8948682379550768,0.058998240377132624,-0.08683131347267192,0.07086324261539208
EPHA4,1.89447798544442,0.059006225025558745,0.19000728310976545,0.07086730473623463
RNF213,-1.894105245552819,0.05911946455124177,-0.127591722990541,0.07099776894902655
PALMD,-1.8920922549750494,0.05923349590362698,-0.18474259471076415,0.0711291636584109
C1orf86,1.891850389691763,0.059401535829148665,0.1442701838757685,0.07132538775336521
RGS9,1.889901789426903,0.059675350741828094,0.28767114918027215,0.07164857886555889
DNM3,1.8905816550221548,0.05968445974541386,0.18442636996983985,0.07165392800780797
LGI3,-1.8880605912883206,0.05975178801032681,-0.1564747781706013,0.0717291657566663
ZNF534,-1.8883188013207477,0.059759629585567596,-0.09614858757062539,0.07173298641373543
LOC728392,-1.88858664315794,0.059840819273690685,-0.1772807537000496,0.07182484365115493
LRP11,1.8881801546600536,0.05995058811837704,0.11709926692315875,0.07195098645714018
REC8,1.8863478837936274,0.0600398827946051,0.21290465841738015,0.07205253900144463
PXMP2,-1.8860108275909315,0.060191449195189844,-0.10912605109008933,0.07222880081508362
PDE10A,-1.8856124482143464,0.0603080263019532,-0.2084038326227935,0.07236305182131962
EXTL1,1.8840257629918167,0.06064410918148971,0.38035425635159736,0.07276064435965067
GCHFR,-1.8817502561303963,0.06078525075576154,-0.15515511854008945,0.07292430309229082
HLA-DPB1,1.881956458509949,0.06079072981413916,0.18219313455341002,0.07292519415257505
CAPN5,1.8799832707395572,0.0608238028337434,0.12849959446814108,0.07295857876905508
DLX1,-1.8803921946663786,0.06082803634853283,-0.31126149700184014,0.07295857876905508
TMPRSS3,1.879588012994351,0.06095936575959351,0.35735642352084795,0.0731104030690498
ZNF880,-1.8788957304364668,0.06111743140310134,-0.1643814035908644,0.07329426678974618
ITGB1,1.878736462360094,0.06117123037206548,0.09438941111227095,0.07335307118681404
ANGPTL3,1.8754777224250485,0.06146330146747604,0.08708721794738505,0.073697566598764
MOBKL1A,-1.8746813701472738,0.06162789786306213,-0.08643208554296855,0.07388917173318546
CAV2,1.874018098743393,0.06163450529100466,0.16876462687603144,0.07389133987118264
WDFY4,1.8756189386054496,0.06165411901462938,0.22400178676648963,0.07390909922674
RDH13,1.8747319132092124,0.06170808373868591,0.10412290821808945,0.07396803155504453
SUSD4,-1.8736871958555805,0.06183018645850743,-0.2559037312398047,0.07410862376628047
PADI3,1.8745777266323127,0.061854655471194016,0.39406383747530427,0.07413218107651391
CWC25,-1.873875099710558,0.06187076803036571,-0.09634721586773765,0.0741457203738746
CD1D,1.872175555350226,0.06208546603447574,0.15886028127274798,0.07439722317167273
EXOC3L,-1.8716387361097684,0.062162937331077084,-0.1325369250632642,0.07448426039584388
SHMT1,-1.8703769055315345,0.06227288921821124,-0.10178541818308773,0.07461019961814633
LRP5L,-1.8662970123075333,0.06279670141458507,-0.1278848202835201,0.07523193368194572
BCAR4,1.8668014977904015,0.06280314978189377,0.19394397074624758,0.07523380511879083
CCL23,1.8647772075738271,0.06295236605109761,0.16952007382759682,0.07540668897531896
